user_id,Username,anime_id,Anime Title,rating
416779,Sidius,29803.0,Overlord,8.0
38901,WebsterArayata,98.0,Mai-HiME,7.0
548785,animemanguy,4382.0,Suzumiya Haruhi no Yuuutsu (2009),9.0
437314,kurodeath,39576.0,Goblin Slayer: Goblin's Crown,7.0
378548,Nelsku,270.0,Hellsing,6.0
396886,AbyssWatchers,11757.0,Sword Art Online,8.0
65980,EarlAlois,934.0,Higurashi no Naku Koro ni,8.0
1087709,cobrabite757,27833.0,Durarara!!x2 Ketsu,8.0
40743,saypman,3166.0,Ayakashi,10.0
370900,AxelFK,15583.0,Date A Live,7.0
348778,exirnark,530.0,Bishoujo Senshi Sailor Moon,9.0
11816,jayd_chan,20583.0,Haikyuu!!,10.0
54334,StrokeTheLorax,5060.0,Hetalia Axis Powers,8.0
1062749,shozzy,14289.0,Suki tte Ii na yo.,7.0
337882,emurelle,121.0,Fullmetal Alchemist,10.0
98952,Mistrana,2236.0,Toki wo Kakeru Shoujo,9.0
602841,a1k3n,6205.0,Kämpfer,7.0
495908,TheBestEver,120.0,Fruits Basket,7.0
464038,blackdragonemp,3359.0,Amatsuki,8.0
639335,Ss4,9989.0,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.0
638,NaughtyCalibur,287.0,Grappler Baki (TV),8.0
937379,kirun,512.0,Majo no Takkyuubin,10.0
321119,gatman13,2273.0,Shin Kidou Senki Gundam Wing: Endless Waltz Special,9.0
291329,sushidei,4898.0,Kuroshitsuji,5.0
15597,Schokotier,741.0,Sensitive Pornograph,9.0
532355,xcariba,17265.0,Log Horizon,9.0
317412,mayrise,60.0,Chrno Crusade,7.0
105703,Tots,355.0,Shakugan no Shana,8.0
338110,Soryon,941.0,Renkin San-kyuu Magical? Pokaan,5.0
62597,treviro,4205.0,KimiKiss Pure Rouge: Love Fighter,9.0
7968,banzai,486.0,Kino no Tabi: The Beautiful World,4.0
34476,Kao-chan,706.0,Comic Party Revolution,6.0
367347,attis,187.0,Initial D Third Stage,10.0
11688,gizm0,1798.0,Animation Seisaku Shinkou Kuromi-chan 2,10.0
319905,Lockeye,5114.0,Fullmetal Alchemist: Brotherhood,8.0
497495,a3ro,10155.0,Dog Days,8.0
119925,WTFo0,1535.0,Death Note,10.0
68807,-Reika-,1668.0,Bakuten Shoot Beyblade G Revolution,7.0
26546,Useless,6046.0,Tales of Vesperia: The First Strike,8.0
385468,ayasal,393.0,Escaflowne,6.0
43695,VampricScar,522.0,Metropolis,8.0
96086,yuppi,5258.0,Hajime no Ippo: New Challenger,8.0
507777,Kiseki_chann,22199.0,Akame ga Kill!,8.0
6117,Troz,1148.0,Teito Monogatari,7.0
316270,Eterni,3299.0,H2O: Footprints in the Sand,7.0
2866,shikanata,16201.0,Aku no Hana,8.0
350787,boriis,57.0,Beck,8.0
546570,sailorv,934.0,Higurashi no Naku Koro ni,8.0
55663,Cimeries,205.0,Samurai Champloo,6.0
313345,defyingfirewolf,2217.0,Hand Maid May: Akiramemasen,9.0
361637,madjackjr,16319.0,Asako Get You!!,5.0
1053823,JebekiSan,37349.0,Goblin Slayer,7.0
312607,Alam,12467.0,Nazo no Kanojo X,8.0
324818,SoyVicSilva,10012.0,Carnival Phantasm,7.0
54174,dzro,2596.0,Shinreigari,8.0
66748,Drakno,3268.0,Mai-Otome 0: S.ifr,9.0
524619,CodaDragon,1699.0,Romeo x Juliet,5.0
415391,Plan-B,6172.0,Layton Kyouju to Eien no Utahime,8.0
338865,Hella_Nomae,132.0,GetBackers,9.0
351011,Use,9253.0,Steins;Gate,10.0
493577,ArcanaTrace,10067.0,Angel Beats! Another Epilogue,8.0
4221,DareDevin,442.0,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,8.0
354119,MotusP,7791.0,K-On!!,6.0
23734,brainscratch,121.0,Fullmetal Alchemist,7.0
54461,Itniraan,240.0,Genshiken,9.0
456129,hobel,9982.0,Fairy Tail OVA,5.0
109817,Niyani,3712.0,Zero no Tsukaima: Princesses no Rondo,7.0
381490,MalinowaQueen,3503.0,Kanokon,7.0
844655,Nick9502,23311.0,Garo: Honoo no Kokuin,8.0
25415,Excel,967.0,Hokuto no Ken,8.0
488851,Dangeel,23283.0,Zankyou no Terror,8.0
447530,godspeedspike,5081.0,Bakemonogatari,9.0
66536,pickledpaprika,15.0,Eyeshield 21,7.0
43434,yoshikochan,857.0,Air Gear,8.0
744451,saltyshaunz,199.0,Sen to Chihiro no Kamikakushi,8.0
430320,Kennykee,8465.0,Ichiban Ushiro no Daimaou Specials,9.0
511945,fuyutsukikaru,24075.0,Persona 4 the Golden Animation,4.0
50024,vexanalasea,19291.0,Pokemon XY,8.0
377023,Raiju1,889.0,Black Lagoon,8.0
62842,milamber84,6023.0,Nogizaka Haruka no Himitsu: Purezza,4.0
547919,XiaoMeLotusMindy,22745.0,Brothers Conflict: Setsubou,6.0
439711,Ashchaos,8476.0,Otome Youkai Zakuro,7.0
1102257,ddt,134.0,Gunslinger Girl,6.0
317164,OblivionRNS,1810.0,Kyoushirou to Towa no Sora,7.0
471435,Dark_Kamui,269.0,Bleach,8.0
416870,rawrbethzilla,8769.0,Ore no Imouto ga Konnani Kawaii Wake ga Nai,9.0
904759,dedarkyoshi9,42938.0,Fruits Basket: The Final,10.0
379369,nam,596.0,Chobits: Chibits,8.0
430692,OriginalGMN,1722.0,Nagasarete Airantou,9.0
119813,lafiel,12467.0,Nazo no Kanojo X,7.0
1080193,Suratu,53077.0,Nijiyon Animation,6.0
569949,KanekoCosplay,1572.0,Jungle Taitei,8.0
114472,Pukisher,27.0,Trinity Blood,5.0
306046,Picoz0r,14345.0,Btooom!,7.0
83809,NeoDrakkan,617.0,Juubee Ninpuuchou,9.0
521029,47saya,9201.0,Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,7.0
